id,review_text,reviewer_id,reviewer_name,source_name,source_review_id,star_rating
106077.0,Best cat food for every breeds of cat. Cheap priceI am having cat its around 4 yrs oldI mix whiskas and royal caninRoyal canin is the best food but whishkas comes afterAfterall price wise its a great product,amzn1.account.AHT3ADPQEG6PECJF77XH2EDEPNDQ,Dhaval,Amazon India,R346GN8N32PW34,5.0 out of 5 stars
106078.0,"Good product, my cats love it!",amzn1.account.AEE4DCHLK3UH4LVREJCM62HPYODQ,Mandy Mu,Amazon India,R3HY5W4MM4MH54,5.0 out of 5 stars
106079.0,My cat love it so much..,amzn1.account.AGEDNI42N3POTU7WV74LSR6LQP2Q,Amazon Customer,Amazon India,R1B4WKP4UOQF22,5.0 out of 5 stars
106080.0,My cats love  to have it .,amzn1.account.AGBW2YCKIDBTV3RI5VNWARCVDDVA,Amazon Customer,Amazon India,R2N9V28JI1IO9U,5.0 out of 5 stars
106081.0,My cat loves it.,amzn1.account.AE4XTRE3O3UB2BOG2GI4RMDLDIOA,Danish,Amazon India,RKRJ9KSMUDEI8,5.0 out of 5 stars
106082.0,Very good,amzn1.account.AEI7PBV735JQ3TR2SXBJJMQ6VZBA,Alakananda sinha,Amazon India,RID874IH6AED,5.0 out of 5 stars
106083.0,My cat dislikes the taste,amzn1.account.AH6CMVKRQNAUDYSV6AJUXCXMLJDA,The Critic,Amazon India,R2UGOCK4SI71UH,3.0 out of 5 stars
106084.0,My cat liked it but it got bored of the flavor in a month.,amzn1.account.AEG6PEAGX3OJ23LOB6LCYMERFNRQ,shankar,Amazon India,R3PU9M698EIGH5,5.0 out of 5 stars
106085.0,On time delivery with package as described . Will not hesitate to order again.,amzn1.account.AHDL5NPJM3JPH52DEZF4VY267Y5Q,Sonia AnnGeregory,Amazon India,R18NHTLN0YF182,5.0 out of 5 stars
106086.0,"Well packed, fresh stock. My cats like this one. But the price reduced by more than 100rs. two days after I bought this so I'm a little disappointed. Wait for offers if you can. The food is good for cats.",amzn1.account.AFKGYMZQEEWFK7PL3CG5HFBHFDOA,Kashmira K,Amazon India,RIRR71REYWCMB,4.0 out of 5 stars
106087.0,My Tom Cat liked it very much,amzn1.account.AGG2GDLWPFPCDNFVNFDDS3AYVZHA,YOGENDRA DAHALE,Amazon India,R5NRPOO4UUIZ,5.0 out of 5 stars
106088.0,There were small insects and worms in the packet of food we recently purchased.,amzn1.account.AFWZRGVH4E3WYUMVQI7EHZ5VZ37Q,FP,Amazon India,R259XON0E2WIDO,1.0 out of 5 stars
106089.0,Simply the best product for your cats.. cheapest ones too.. the cat starts jumping with happiness when i start to open the container.. !!!,amzn1.account.AHDWFGWG6LQJKNZSKORZ53URY5ZA,Dr. Deval dubey,Amazon India,R1972WA8LE4IJB,5.0 out of 5 stars
106090.0,Nice product  my cats liked so much thanks to Amazon,amzn1.account.AFTJQJNKHSHOH6UFSCS7HBSNWFIA,Amazon Customer,Amazon India,R3MZD08GK3HYOT,5.0 out of 5 stars
106091.0,Cat likes it though not loves it,amzn1.account.AHRSJ3GNSEQF7RXV2BSMMPQKMV4A,Experienced Buyer,Amazon India,R2KO3NUH73IFNK,4.0 out of 5 stars
106092.0,Best for your cats,amzn1.account.AFAQHR76PCSEM35TRISTX3DE3ZDA,Abhinay Rana,Amazon India,RIHDA6O5O8EAX,5.0 out of 5 stars
106093.0,Good product I like it ....  Thanks Amazon,amzn1.account.AEYLVV4Q7SMQE6DD3FMQ4YCGJY5Q,Swathy v s,Amazon India,R1V3TXE7XYMI34,5.0 out of 5 stars
106094.0,Can improve with packing...good quality,amzn1.account.AHUU6BHGZP5FJGGPAL2FPEXK2FEQ,Amazon Customer,Amazon India,R2EO5D95L3EUZF,4.0 out of 5 stars
106095.0,After eating this my cat won't eat anything else.Thanks Amazon.,amzn1.account.AH5HHVZU3RYX3YLOBM4D6XGCCFZQ,Amazon Customer,Amazon India,R3U9HVQMK1FL2Z,5.0 out of 5 stars
106096.0,I packet I recieved was already open. The question remains - opened by seller or mice?,amzn1.account.AFAFPUSKVQV5ZSAVYZRICTKWL46A,Poonam,Amazon India,R3DSN6U9WOKCDW,1.0 out of 5 stars
106097.0,My cat loves it.,amzn1.account.AFOY6D5QIH6R5M7YDV5A35EJ6ULA,Shreya Sethi,Amazon India,R297JU2GHMC8ID,5.0 out of 5 stars
106098.0,Cats loved it,amzn1.account.AGG4WCJPFMQD7VUHHPC2DPINJ3ZQ,Sareeta bhadange,Amazon India,R3KP51DW9N20TY,5.0 out of 5 stars
106099.0,my cat loves it,amzn1.account.AELT7QEXSYDAE5WSCZWMZJ44VFDQ,sadaf quadri,Amazon India,R28K353T0FP8L,5.0 out of 5 stars
106100.0,Cats hated it,amzn1.account.AECTY65IBAW6FSWLJQDB3V6N5THA,talia zubairi,Amazon India,R1XRHXMHEQJYVJ,1.0 out of 5 stars
106101.0,Found 3 holes in inner package and 2 holes in outer package.I cannot return because food already came out when I removed the inner package.,amzn1.account.AGQRCEZTT43TFF2G4HYRTT3NBUQQ,Zaid K.,Amazon India,RD9ZNIJKUZA1O,1.0 out of 5 stars
106102.0,Best cat food,amzn1.account.AEEYKDDDPP253RUKXKVRSEEVKFEQ,gauspak mustak shaikh,Amazon India,R303Q39HR8ZYMB,5.0 out of 5 stars
106103.0,Nice product,amzn1.account.AEQ4UUAX72RLD6BFQKUHIETJLDNA,Anindita chandra,Amazon India,R2UEYQO47SJ4WQ,5.0 out of 5 stars
106104.0,My cat loves it.,amzn1.account.AHBSIW7CUMPPIBWHXSNLPDZEUHHQ,CapitalM,Amazon India,R1ONSXB0IUIXHC,5.0 out of 5 stars
106105.0,"Don't feed whiskas to your cats, they become adicted to it like it's drugs, won't let me live, they'll meow you all day until you feed them this, this maybe healthy but this makes them fat and lazy",amzn1.account.AGSPXEV3WXP54MKYDMD5KMSHQU5A,Mihir Nadkarni,Amazon India,R2PN7OZ62JCOPO,3.0 out of 5 stars
106106.0,My cats loved this food.,amzn1.account.AHIHX67HBPK3RSABYCYDTMUZLT6Q,Amazon Customer,Amazon India,R288FUFN00RWOO,4.0 out of 5 stars
106107.0,My kitty is just in love with this...,amzn1.account.AHSHUXTKQBFRQVTQIUEX4W5BPZMQ,Amazon Customer,Amazon India,RMKNQE3QSBY9Z,5.0 out of 5 stars
106108.0,He just loved it ... It's awesome,amzn1.account.AF34I4QU2YE3KDB4GRGKVLBHGRNA,Varalakshmi,Amazon India,R2JY8IAX8UACSC,5.0 out of 5 stars
106109.0,Nice,amzn1.account.AGVC5OHFRNJI36GQKXMJN6S3FNFQ,Gnana Prakash,Amazon India,R2TD2ZRPJOYO4F,4.0 out of 5 stars
106110.0,Perfect,amzn1.account.AHXB5XG7JADH3IQKULUWFJYIYQKA,vijay v kanitka,Amazon India,R1DFVC68VKPXNF,5.0 out of 5 stars
106111.0,Our pet cats used be week and run away to other houses. But after started purchase of whiskas our cats are very happy and more than 2 years now we continually buy this product only. They are very healthy and active.,amzn1.account.AH75J2RPAKWACBAKOLODHXS3YVDA,R Manigandan,Amazon India,RYEHYT55B7J07,5.0 out of 5 stars
106112.0,Whiskas product good. But package is broken?,amzn1.account.AFTB3LY2KM35TRX2P5B3U5VIC3FQ,Amazon Customer,Amazon India,R31HJMSPV5H9WF,3.0 out of 5 stars
106113.0,Good food for cats,amzn1.account.AFCSE62RSL2GJWQU3K3E4TDMRBCQ,Rahul R,Amazon India,R2JP3219G24AU,5.0 out of 5 stars
106114.0,My cats lick it.Esp the Tuna pockets.,amzn1.account.AEJAJLZFWHB4EL2QO3XRQFREI4RQ,Amazon Customer,Amazon India,R3UNCDIDPXT3HH,4.0 out of 5 stars
